INFO  - 2015-12-11 05:26:30.761; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-12-11 05:26:30.761; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2015-12-11 05:26:30.761; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2015-12-11 05:26:30.762; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-12-11 05:26:30.762; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2015-12-11 05:26:30.762; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2015-12-11 05:26:30.763; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2015-12-11 05:26:30.763; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2015-12-11 05:26:30.763; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2015-12-11 05:26:30.763; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2015-12-11 05:26:30.763; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2015-12-11 05:26:30.765; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2015-12-11 05:26:30.766; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2015-12-11 05:26:30.768; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2015-12-11 05:26:30.774; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2015-12-11 05:26:30.774; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-12-11 05:26:30.774; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2015-12-11 05:26:30.774; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-12-11 05:26:30.774; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2015-12-11 05:26:30.774; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
